event_id,t0_idx,target_idx,event_datetime,year,season,t0_datetime,target_datetime
200500700,2,5,2/19/2020 7:00,2020,DJF,2/19/2020 7:20,2/19/2020 7:50
200500700,3,6,2/19/2020 7:00,2020,DJF,2/19/2020 7:30,2/19/2020 8:00
200500700,4,7,2/19/2020 7:00,2020,DJF,2/19/2020 7:40,2/19/2020 8:10
200500700,5,8,2/19/2020 7:00,2020,DJF,2/19/2020 7:50,2/19/2020 8:20
200500700,6,9,2/19/2020 7:00,2020,DJF,2/19/2020 8:00,2/19/2020 8:30
200500700,7,10,2/19/2020 7:00,2020,DJF,2/19/2020 8:10,2/19/2020 8:40
200500700,8,11,2/19/2020 7:00,2020,DJF,2/19/2020 8:20,2/19/2020 8:50
200500700,9,12,2/19/2020 7:00,2020,DJF,2/19/2020 8:30,2/19/2020 9:00
200500700,10,13,2/19/2020 7:00,2020,DJF,2/19/2020 8:40,2/19/2020 9:10
200500700,11,14,2/19/2020 7:00,2020,DJF,2/19/2020 8:50,2/19/2020 9:20
200500700,12,15,2/19/2020 7:00,2020,DJF,2/19/2020 9:00,2/19/2020 9:30
200500700,13,16,2/19/2020 7:00,2020,DJF,2/19/2020 9:10,2/19/2020 9:40
200500700,14,17,2/19/2020 7:00,2020,DJF,2/19/2020 9:20,2/19/2020 9:50
200500700,15,18,2/19/2020 7:00,2020,DJF,2/19/2020 9:30,2/19/2020 10:00
200500700,16,19,2/19/2020 7:00,2020,DJF,2/19/2020 9:40,2/19/2020 10:10
200500700,17,20,2/19/2020 7:00,2020,DJF,2/19/2020 9:50,2/19/2020 10:20
200500700,18,21,2/19/2020 7:00,2020,DJF,2/19/2020 10:00,2/19/2020 10:30
200500700,19,22,2/19/2020 7:00,2020,DJF,2/19/2020 10:10,2/19/2020 10:40
200500700,20,23,2/19/2020 7:00,2020,DJF,2/19/2020 10:20,2/19/2020 10:50
200500700,21,24,2/19/2020 7:00,2020,DJF,2/19/2020 10:30,2/19/2020 11:00
200500700,22,25,2/19/2020 7:00,2020,DJF,2/19/2020 10:40,2/19/2020 11:10
200500700,23,26,2/19/2020 7:00,2020,DJF,2/19/2020 10:50,2/19/2020 11:20
200500700,24,27,2/19/2020 7:00,2020,DJF,2/19/2020 11:00,2/19/2020 11:30
